"","unit","edm_id","YEAR","SKELETAL.ELEMENT","REFIT","CLASS","ORDER","FAMILY","GENUS","SPECIES","area","geo","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing"
"16","939/673",41,2015,"rib (diaphysis) frag., refits with 940/674-54","940/674-54","Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.709,673.967,349.139,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"rib fragment, refit with 940/674 ID 54","2015-06-01","11:50:20","UA4","",0,46
"17","939/673",42,2015,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.735,673.771,349.139,"Elephant bone","","","",2,4,22,106,"",NA,NA,NA,NA,"rib","2015-06-01","14:45:02","UA4","",22,106
"19","939/674",47,2014,"lumbar vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.729,674.792,349.324,"Elephant bone","","","",1,13,0,16,"",NA,NA,NA,NA,"lumbar vertebra","2014-11-05","11:59:16","UA4","",0,16
"20","939/674",77,2015,"thoracic vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.494,674.877,349.293,"Elephant bone","","","",1,18,0,346,"",NA,NA,NA,NA,"thoracic vertebra","2015-05-30","11:00:03","UA4","",0,346
"21","939/675",50,2015,"phalanx",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.712,675.818,349.312,"Elephant bone","1","","LS, KH",1,17,0,136,"3 W",160,67,50,45,"phalanx","2015-05-20","14:41:53","UA4","",0,136
"22","939/676",57,2015,"cervical vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.745,676.633,349.272,"Elephant bone","","","",1,16,0,106,"",NA,NA,NA,NA,"cervical vertebra","2015-06-02","11:48:39","UA4","",0,106
"23","939/676",58,2015,"pyramidal dex",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.593,676.704,349.33,"Elephant bone","","","",2,2,22,46,"",NA,NA,NA,NA,"pyramidal dex.","2015-06-02","14:18:39","UA4","",22,46
"25","940/674",35,2015,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.77,674.451,349.226,"Elephant bone","","","",1,15,0,76,"",NA,NA,NA,NA,"rib","2014-11-02","14:47:45","UA4","",0,76
"26","940/674",36,2014,"rib frag., refits with 940/674-49 (complete)","940/674-49","Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.27,674.649,349.318,"Elephant bone","","","",1,17,0,136,"",NA,NA,NA,NA,"rib fragment, refit with 940/674 ID 49","2014-11-02","14:50:08","UA4","",0,136
"27","940/674",37,2014,"rib frag., refits with 940/674-55 (missing the head part)","940/674-55","Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.344,674.73,349.328,"Elephant bone","","","",2,7,22,196,"",NA,NA,NA,NA,"rib fragment, refit with 940/674 ID 55","2014-11-02","14:54:27","UA4","",22,196
"29","940/674",39,2014,"atlas",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.228,674.433,349.354,"Elephant bone","","","",1,16,0,106,"",NA,NA,NA,NA,"atlas","2014-11-02","15:03:02","UA4","",0,106
"30","940/674",40,2014,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.991,674.416,349.28,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"rib","2014-11-02","14:34:24","UA4","",0,46
"31","940/674",49,2015,"rib frag., refits with 940/674-36 (complete)","940/674-36","Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.022,674.954,349.297,"Elephant bone","","","",1,18,0,346,"",NA,270,40,15,"rib, refit with 940/674 ID 36","2015-05-25","10:59:43","UA4","",0,346
"32","940/674",54,2015,"rib (head) frag., refits with 939/673-41 (missing the outer part)","939/673-41","Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.461,674.055,349.223,"Elephant bone","","","",2,7,22,196,"",NA,NA,NA,NA,"rib fragment, refit with 939/673 ID 41","2015-06-01","09:03:14","UA4","",22,196
