"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"34070","B","933/601","1",50,0,933.799,601.068,350.579,"KN","2","","ER",1,14,0,46,"",NA,40,3,3,"bird long bone, broken","2015-05-21","08:10:31","UB4c","Mudflow",0,46,13.3333333333333
"34080","B","933/601","1",51,0,933.925,601.095,350.565,"KN","2","","ER",2,6,22,166,"",NA,53,11,13,"bird long bone","2015-05-21","08:53:57","UB4c","Mudflow",22,166,4.81818181818182
"34137","B","933/601","1",74,0,933.361,601.33,350.371,"LI","7","","AV",5,18,90,346,"",NA,45,19,9,"radiolarite, big flake","2015-05-25","11:47:48","UB4c","Mudflow",90,346,2.36842105263158
"34172","B","933/601","1",34,0,933.369,601.936,350.349,"KN","7","","GM",3,5,45,136,"50 NE",100,70,30,10,"big bone fragment","2015-05-14","10:06:14","UB4c","Mudflow",45,136,2.33333333333333
"34205","B","933/601","1",21,0,933.99,601.996,350.469,"KN","4","","AV",6,17,90,136,"",NA,22,9,3,"long bone fragment","2015-05-12","08:50:27","UB4c","Mudflow",90,136,2.44444444444444
"34449","B","933/602","1",56,0,933.791,602.18,350.295,"LI","7","","GM",5,18,90,346,"24 S",180,26,15,7,"radiolarite, flake fragment","2015-05-15","10:11:36","UB4c","Mudflow",90,346,1.73333333333333
"35522","B","934/595","4",107,0,934.716,595.566,350.242,"LI","6","","ES",4,12,67,346,"",NA,21,9,1,"radiolarite, chip, broken","2015-05-19","13:40:36","UB4c","Mudflow",67,346,2.33333333333333
"35539","B","934/595","4",102,0,934.857,595.081,350.233,"LI","6","","ES",2,8,22,226,"",NA,20,12,6,"flint?","2015-05-19","10:08:42","UB4c","Mudflow",22,226,1.66666666666667
"35544","B","934/595","4",103,0,934.522,595.01,350.263,"KN","6","","ES",6,17,90,136,"",NA,40,11,4,"","2015-05-19","11:13:56","UB4c","Mudflow",90,136,3.63636363636364
"35545","B","934/595","4",72,0,934.751,595.141,350.419,"KN","4","","ES",2,8,22,226,"20 W",274,46,26,5,"long bone fragment, possible cut mark","2015-05-13","13:53:15","UB4c","Mudflow",22,226,1.76923076923077
"35566","B","934/595","4",60,0,934.42,595.368,350.458,"ZN","3","","ES",4,8,67,226,"32 W",260,60,30,10,"ivory fragment","2015-05-12","11:51:41","UB4c","Mudflow",67,226,2
"35589","B","934/595","4",50,0,934.717,595.176,350.487,"LI","2","","ES",1,15,0,76,"0",60,30,16,11,"radiolarite, debordant flake","2015-05-11","11:17:36","UB4c","Mudflow",0,76,1.875
"35641","B","934/595","4",73,0,934.666,595.154,350.395,"KN","4","","ES",3,5,45,136,"34 SE",158,40,20,4,"skull fragment","2015-05-14","07:57:44","UB4c","Mudflow",45,136,2
"36158","B","934/598","UB4b",7,0,934.118,598.955,350.647,"KN","1","","DV",6,16,90,106,"0",158,33,19,1,"fish bone, broken on site","2016-03-29","09:29:48","UB4c","",90,106,1.73684210526316
"36266","B","934/599","1",111,0,934.742,599.406,350.129,"KN","12","","DV",4,2,67,46,"40 N",10,75,20,25,"","2015-05-19","11:48:28","UB4c","Mudflow",67,46,3.75
"36276","B","934/599","1",108,0,934.92,599.835,350.14,"KN","12","","DV",1,15,0,76,"16 E",70,55,5,3,"","2015-05-19","10:50:12","UB4c","Mudflow",0,76,11
"36303","B","934/599","1",91,0,934.09,599.69,350.172,"KN","11","","DV",4,5,67,136,"40 SE",110,75,25,15,"long bone fragment","2015-05-15","09:35:50","UB4c","Mudflow",67,136,3
"36315","B","934/599","1",71,0,934.478,599.233,350.308,"LI","9","","DV",2,8,22,226,"",NA,20,10,3,"radiolarite, right flake fragment","2015-05-12","09:20:43","UB4c","Mudflow",22,226,2
